"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
210,"5504860",5504860,"CAS","684498","684498","1970",5504860,"CAS","CBRH Property",,,,,"Alameda County",,"3 axillary buds","yes, cauline with intermediate morphology","extra leaf tissue, multiple indviduals on sheet, leaf collected from packet (unclear if DNA and leaf from same individual), axillary bud with leaf might be different individual from other buds"
211,"2342720",2342720,"CAS","74214","74214","1972",2342720,"CAS","Northeast side of Herring Creek ca. 1 km. above dam at Herring Creek Reservoir.",,,,,"Tuolumne County",,"2 axillary buds, 1 terminal bud cluster, a little leaf","yes, cauline with intermediate morphology",
213,"2767670",2767670,"CAS","539311","539311","1977",2767670,"CAS","Along El Dorado Road, 1/2 mi S of US Hwy 50 [exact location unknown]",,"38° 41' 55"" N, 120° 51' 27"" W",38.6986111111,-120.8575,"El Dorado County",,"3 axiallary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",
214,"2312543",2312543,"CAS","74293","74293","1978",2312543,"CAS","Highway 128 at intersection with Highway 1, along Navarro River.",,,,,"Mendocino County",,"3 axillary buds","yes, cauline with intermediate morphology","extra leaf tissue"
215,"2286151",2286151,"CAS","74314","74314","1980",2286151,"CAS","Sierra Nevada. Onion Valley, La Porte road.",,,,,"Plumas County",,"3 axillary buds","yes, cauline with intermediate morphology","potentially more than 1 individual , extra leaf tissue "
216,"5504869",5504869,"CAS","684508","684508","1982",5504869,"CAS","1 mile south of Alvarado-Niles Blvd, Fremont",,,,,"Alameda County",,"1 axillary bud","yes, cauline with intermediate morphology",
218,"2305663",2305663,"CAS","74324","74324","1993",2305663,"CAS","Farallon Islands near the Dome.",,,,,"San Francisco County",,"3 axiallary buds","yes, cauline with intermediate morphology",
219,,,"CAS","684512","684512"," ? (1996?)",5504873,"CAS","Cal State campus, Hayward",,,,,"Alameda County",,"4 axillary buds","yes, cauline with intermediate morphology",
220,"5504847",5504847,"CAS","684484","684484","1963",5504847,"CAS","Hayward campus site",,,,,"Alameda County",,"1 axillary bud, 1 terminal bud cluster","yes, cauline with intermediate morphology, glue on half leaf tissue",
221,"2334928",2334928,"CAS","74198","74198","1913",2334928,"CAS","Anderson.",,,,,"Shasta County",,"3 apical bud clusters, little leaf","yes, cauline, with cauline morphology ",
